d rc alpha h ra
0.0024111287351816055 1.4047757336141725e-05 64.3212631952087 0.0004958278699560331 0.0007644306355330452
0.002059560808693424 6.203620868926593e-05 40.644943197172985 0.0008997050514643621 0.0006879190780176471
0.001200360913848962 8.962839488678912e-05 40.29927438734197 0.0005475361569108982 7.037869504129902e-05
-0.0004859428506702859 5.720669624883339e-05 36.50852722854841 0.0004947184360148849 0.0025565580615110025
0.0015917329897985719 5.3327554557010135e-05 61.92245285118997 0.0009669823452571872 0.002902390280708075
0.002393155981416356 4.353083043379901e-05 51.16561164958792 0.000635200074412546 0.0022441329759981072
0.002674136618315284 9.85507891649995e-05 25.68877664738285 0.00035195331069908686 0.0016561020044540639
0.0008389483917095742 2.2474751915220522e-05 38.85018723447721 8.799491013566938e-05 0.0011783935400578353
0.0004255274177293131 5.402091189367139e-06 35.52290998173619 0.0006783089110524411 0.0009769935653403347
0.001184539344706784 1.6652929571459731e-06 39.29628698774094 0.00022652175705822582 0.0019778027237258577
0.0024269223536529595 9.42820915285299e-05 22.76315776178933 0.0005834126299114927 0.0027137784310648297
0.00045657061722792215 9.676234094596908e-05 36.50861031046152 0.0007760022627465327 0.0005745944175416729
0.001000505504619753 7.613997641143225e-05 46.814566285197174 0.0004847953805516195 5.764127593798608e-05
0.00017071540658916977 8.856764096360178e-05 50.09877558387414 0.0004901686892273257 0.00016383504828908327
0.002537446367627114 3.8504995261602214e-05 16.852234217260925 6.473177135946999e-05 0.002418360967406049
0.002169467443502201 7.964889175754744e-05 50.89491701653051 0.00036030422214645193 0.0005057925681040917
0.0025448325934729252 7.684341365140085e-05 34.47525103912588 0.000564676519666483 0.0004545456099582205
0.0028249026880549544 9.99167733031045e-05 20.45349513292176 0.000328204412687009 0.002927124040595277
0.0017454684790930582 3.464154644463234e-06 64.63117513405226 0.0007324698322401071 0.0022317233320242424
0.00041833771587426483 2.954112181007851e-05 50.93149981193299 0.0007047547032009822 0.002234878151624561
-0.0004555396560686566 5.341937269175304e-05 59.91123838411366 0.0009851623316350568 0.002214923473247391
0.0009907997595821189 3.5701579473983726e-05 38.11461149541514 0.00012868511766265468 0.002801289114430539
0.0009972407574735667 1.9752841247264276e-05 65.28047209900892 0.0009974569179407508 0.0019989041346355286
0.0014029769691872424 5.6778614873461816e-05 21.527378343727896 0.0008756234681576106 0.0015912481978192176
0.0012699744615367818 9.983511343315735e-05 10.01988692610286 0.00014591089136633417 0.0029955646015847586
0.0019391666071223758 7.221388498974867e-05 35.531284624523735 0.0008211212752239886 0.002860862782175229
0.00239978589696417 3.4530329545214535e-06 63.953632585897886 0.0005982927710425209 0.0024979657466775696
0.0011263516247978155 2.9361699044810534e-05 42.6718908070536 0.0009579674448327352 0.0006924855637107189
0.001694441138335591 5.797207211972919e-05 48.606944547734884 0.000155505569165383 0.0014459944807158872
-0.0005166455007512231 5.769598655011325e-05 54.36877684570266 0.0009096495428043879 0.002974534786908379
0.0013429878376248984 4.535607695130179e-05 24.967607952971 0.0006811049100909252 0.0007046954990470989
-0.0003982945729023481 2.8190778149583573e-05 27.600508440302832 0.0008379804925379782 0.0007677935965747403
0.000370341747538092 7.385867124704004e-05 43.57746001044607 0.000539040034762264 0.0024080156732682067
0.0019540030195222967 8.164273978875989e-06 28.791486884413143 5.019977143401301e-05 0.0010602868041047593
